Date,Close,1Month,3Months,6Months,12Months
8/1/1989,351.450012,0.015516716,0.096499513,0.216679465,0.343874376
9/1/1989,349.149994,-0.006544367,0.098024976,0.18408112,0.284064539
10/1/1989,340.359985,-0.025175452,-0.016527977,0.099211886,0.220059446
11/1/1989,345.98999,0.016541325,-0.0155357,0.079464626,0.264121209
12/1/1989,353.399994,0.021416816,0.012172419,0.111390596,0.272504655
1/1/1990,329.079987,-0.068817225,-0.033141375,-0.049121592,0.106262769
2/1/1990,331.890015,0.008539043,-0.040752552,-0.055655133,0.148965008
3/1/1990,339.940002,0.024254984,-0.038087131,-0.026378325,0.152847044
4/1/1990,330.799988,-0.026887139,0.005226696,-0.028087899,0.068337334
5/1/1990,361.230011,0.09198919,0.088402768,0.044047578,0.127012428
6/1/1990,358.019989,-0.008886366,0.053185818,0.013072991,0.125919796
7/1/1990,356.149994,-0.005223158,0.076632427,0.082259657,0.02909734
8/1/1990,322.559998,-0.094314184,-0.107050942,-0.028111774,-0.082202342
9/1/1990,306.049988,-0.051184307,-0.145159496,-0.099694104,-0.123442666
10/1/1990,304,-0.006698213,-0.146427053,-0.081015686,-0.106828025
11/1/1990,322.220001,0.059934214,-0.001054058,-0.107992162,-0.068701378
12/1/1990,330.220001,0.024827757,0.078974069,-0.077649262,-0.065591379
1/1/1991,343.929993,0.041517752,0.131348661,-0.034311389,0.045125825
2/1/1991,367.070007,0.067281175,0.139190633,0.13798986,0.105998947
3/1/1991,375.220001,0.022202833,0.136272787,0.226008873,0.103783017
4/1/1991,375.339996,0.000319799,0.091326734,0.234671039,0.134643318
5/1/1991,389.829987,0.038604975,0.062004467,0.209825541,0.079173865
6/1/1991,371.160004,-0.047892629,-0.010820311,0.123977963,0.036701903
7/1/1991,387.809998,0.044859343,0.033223217,0.127584119,0.088895141
8/1/1991,395.429993,0.019648784,0.014365252,0.077260428,0.225911444
9/1/1991,387.859985,-0.019143738,0.044994021,0.033686861,0.267309264
10/1/1991,392.450012,0.011834237,0.011964658,0.045585379,0.290953987
11/1/1991,375.220001,-0.043903709,-0.0511089,-0.03747784,0.164483892
12/1/1991,417.089996,0.111587855,0.075362275,0.123747148,0.26306703
1/1/1992,408.779999,-0.01992375,0.041610362,0.054072874,0.188555832
2/1/1992,412.700012,0.009589542,0.099888095,0.043674024,0.124308726
3/1/1992,403.690002,-0.021831863,-0.032127345,0.040813741,0.075875489
4/1/1992,414.950012,0.027892715,0.015093725,0.057332142,0.105531029
5/1/1992,415.350006,0.000963957,0.006421114,0.106950602,0.065464484
6/1/1992,408.140015,-0.017358832,0.011023342,-0.021458153,0.09963361
7/1/1992,424.209991,0.039373684,0.02231589,0.037746446,0.093860378
8/1/1992,414.029999,-0.02399753,-0.003178059,0.003222648,0.047037418
9/1/1992,417.799988,0.009105594,0.023668282,0.034952528,0.077192812
10/1/1992,418.679993,0.002106283,-0.013035992,0.008988989,0.066836489
11/1/1992,431.350006,0.030261807,0.041832734,0.038521728,0.149592252
12/1/1992,435.709991,0.010107766,0.042867409,0.067550289,0.044642632
1/1/1993,438.779999,0.007045989,0.04800804,0.034346216,0.073389109
2/1/1993,443.380005,0.010483627,0.027889182,0.070888598,0.074339695
3/1/1993,451.670013,0.018697298,0.03662992,0.081067559,0.118853602
4/1/1993,440.190002,-0.02541681,0.003213462,0.051375775,0.06082658
5/1/1993,450.190002,0.022717463,0.015359279,0.043676819,0.083881053
6/1/1993,450.529999,0.00075523,-0.002523998,0.034013468,0.103861377
7/1/1993,448.130005,-0.005327046,0.018037672,0.021309098,0.056387201
8/1/1993,463.559998,0.034431957,0.029698563,0.04551399,0.11962901
9/1/1993,458.929993,-0.00998793,0.018644694,0.016073637,0.098444246
10/1/1993,467.829987,0.019392923,0.043960417,0.062791033,0.117392746
11/1/1993,461.790009,-0.012910626,-0.003818252,0.025766914,0.070569149
12/1/1993,466.450012,0.010091173,0.016385983,0.035336189,0.070551563
1/1/1994,481.609985,0.032500745,0.029455141,0.074710418,0.097611528
2/1/1994,467.140015,-0.030044996,0.011585365,0.007722877,0.053588366
3/1/1994,445.769989,-0.045746511,-0.044334918,-0.028675406,-0.013062687
4/1/1994,450.910004,0.011530644,-0.063744486,-0.036166948,0.024353125
5/1/1994,456.5,0.012397143,-0.022776929,-0.011455443,0.0140163
6/1/1994,444.269989,-0.026790824,-0.003364964,-0.047550697,-0.013894768
7/1/1994,458.26001,0.031489908,0.016300384,-0.048483162,0.022605059
8/1/1994,475.48999,0.037598699,0.041599102,0.017874673,0.025735594
9/1/1994,462.709991,-0.026877535,0.041506297,0.038001665,0.008236546
10/1/1994,472.350006,0.020833816,0.030746728,0.047548295,0.00966167
11/1/1994,453.690002,-0.039504613,-0.045847417,-0.006155527,-0.017540455
12/1/1994,459.269989,0.012299118,-0.007434467,0.033763253,-0.01539291
1/1/1995,470.420013,0.024277711,-0.004085938,0.026535161,-0.02323451
2/1/1995,487.390015,0.03607415,0.074279823,0.025026868,0.043348888
3/1/1995,500.709991,0.027329193,0.090230154,0.082124875,0.123247422
4/1/1995,514.710022,0.027960359,0.094149925,0.089679296,0.141491689
5/1/1995,533.400024,0.036311712,0.094400803,0.175692701,0.168455693
6/1/1995,544.75,0.021278544,0.087955123,0.186121482,0.226168802
7/1/1995,562.059998,0.03177604,0.091993499,0.194804605,0.226508938
8/1/1995,561.880005,-0.000320238,0.053393288,0.152834461,0.181686296
9/1/1995,584.409973,0.040097472,0.072803989,0.167162596,0.263015678
10/1/1995,581.5,-0.004979335,0.034587058,0.129762342,0.231078634
11/1/1995,605.369995,0.041049003,0.07740085,0.134926824,0.334325183
12/1/1995,615.929993,0.017443874,0.053934774,0.13066543,0.341106556
1/1/1996,636.02002,0.032617387,0.093757558,0.131587415,0.352025854
2/1/1996,640.429993,0.006933702,0.057914991,0.139798511,0.313999001
3/1/1996,645.5,0.007916567,0.048008714,0.104532828,0.289169403
4/1/1996,654.169983,0.013431422,0.028536779,0.124969876,0.270948602
5/1/1996,669.119995,0.022853406,0.04479803,0.105307499,0.254443129
6/1/1996,670.630005,0.00225671,0.038931069,0.088808814,0.231078486
7/1/1996,639.950012,-0.045748017,-0.021737425,0.006179038,0.138579536
8/1/1996,651.98999,0.018813935,-0.025600797,0.018050368,0.160372293
9/1/1996,687.330017,0.054203328,0.024901976,0.064802505,0.176109322
10/1/1996,705.27002,0.026101003,0.102070485,0.07811431,0.212846122
11/1/1996,757.02002,0.073376152,0.161091476,0.131366609,0.250507997
12/1/1996,740.73999,-0.021505415,0.077706446,0.104543466,0.202636661
1/1/1997,786.159973,0.061317039,0.114693594,0.228470909,0.236061678
2/1/1997,790.820007,0.00592759,0.044648736,0.212932743,0.234826625
3/1/1997,757.119995,-0.04261401,0.022113029,0.1015378,0.172920209
4/1/1997,801.340027,0.058405579,0.019309116,0.136217341,0.224972175
5/1/1997,848.280029,0.058576884,0.072658786,0.120551645,0.267754716
6/1/1997,885.140015,0.043452616,0.169088151,0.194940231,0.319863425
7/1/1997,954.309998,0.07814581,0.190892712,0.213887797,0.491225846
8/1/1997,899.469971,-0.057465632,0.06034557,0.137388992,0.379576351
9/1/1997,947.280029,0.05315359,0.070203598,0.251162346,0.378202618
10/1/1997,914.619995,-0.034477697,-0.041590262,0.141363172,0.296836629
11/1/1997,955.400024,0.044586855,0.062181123,0.126279049,0.262053841
12/1/1997,970.429993,0.015731598,0.024438353,0.096357612,0.310081818
1/1/1998,980.280029,0.010150177,0.071789415,0.027213412,0.246921826
2/1/1998,1049.339966,0.070449193,0.098325246,0.166620343,0.326901136
3/1/1998,1101.75,0.049945714,0.135321464,0.163066851,0.455185449
4/1/1998,1111.75,0.009076469,0.134114709,0.21553214,0.387363619
5/1/1998,1090.819946,-0.018826224,0.039529591,0.141741594,0.285919636
6/1/1998,1133.839966,0.039438241,0.029126359,0.168389244,0.280972441
7/1/1998,1120.670044,-0.011615327,0.008023426,0.143214195,0.174324953
8/1/1998,957.280029,-0.145796719,-0.122421594,-0.087731279,0.064271248
9/1/1998,1017.01001,0.062395516,-0.103039194,-0.076913991,0.073610737
10/1/1998,1098.670044,0.080294228,-0.019631113,-0.011765195,0.201231167
11/1/1998,1163.630005,0.059125996,0.215558635,0.066748008,0.217950571
12/1/1998,1229.22998,0.056375287,0.208670483,0.084130051,0.266685891
1/1/1999,1279.640015,0.041009442,0.164717307,0.14185261,0.305382112
2/1/1999,1238.329956,-0.032282563,0.064195621,0.293592176,0.180103681
3/1/1999,1286.369995,0.038794215,0.046484397,0.264854802,0.167569771
4/1/1999,1335.180054,0.037944028,0.043402862,0.215269372,0.20097149
5/1/1999,1301.839966,-0.024970481,0.051286824,0.118774834,0.193450826
6/1/1999,1372.709961,0.054438331,0.067119076,0.116723464,0.210673466
7/1/1999,1328.719971,-0.032046092,-0.004838361,0.038354502,0.185647799
8/1/1999,1320.410034,-0.006254092,0.014264478,0.066282882,0.379335193
9/1/1999,1282.709961,-0.028551792,-0.065563741,-0.002845242,0.261255984
10/1/1999,1362.930054,0.062539542,0.025746646,0.020783714,0.240527182
11/1/1999,1388.910034,0.019061859,0.051877824,0.066882313,0.193601083
12/1/1999,1469.25,0.057843895,0.145426515,0.070328068,0.195260467
1/1/2000,1394.459961,-0.050903549,0.023133914,0.049476181,0.089728318
2/1/2000,1366.420044,-0.020108083,-0.016192546,0.034845244,0.103437769
3/1/2000,1498.579956,0.096719828,0.019962536,0.168292133,0.164968059
4/1/2000,1452.430054,-0.030795756,0.041571716,0.065667346,0.087815871
5/1/2000,1420.599976,-0.021915051,0.039651008,0.022816411,0.091224738
6/1/2000,1454.599976,0.02393355,-0.02934777,-0.00997109,0.05965573
7/1/2000,1430.829956,-0.016341276,-0.014871696,0.026081778,0.076848386
8/1/2000,1517.680054,0.060699105,0.068337378,0.110698032,0.149400576
9/1/2000,1436.51001,-0.053482975,-0.012436385,-0.041419175,0.119902436
10/1/2000,1429.400024,-0.004949486,-0.000999372,-0.015856206,0.048769906
11/1/2000,1314.949951,-0.08006861,-0.133578947,-0.074370003,-0.053250449
12/1/2000,1320.280029,0.004053446,-0.080911362,-0.092341502,-0.101391847
1/1/2001,1366.01001,0.034636577,-0.044347288,-0.045302341,-0.020402128
2/1/2001,1239.939941,-0.092290736,-0.057044004,-0.183003073,-0.09256312
3/1/2001,1160.329956,-0.064204711,-0.121148597,-0.192257661,-0.225713682
4/1/2001,1249.459961,0.076814362,-0.085321519,-0.125885029,-0.139745176
5/1/2001,1255.819946,0.005090187,0.012807076,-0.044967495,-0.115993265
6/1/2001,1224.380005,-0.025035389,0.055199858,-0.072636124,-0.158270298
7/1/2001,1211.22998,-0.01074015,-0.030597204,-0.113308123,-0.15347734
8/1/2001,1133.579956,-0.064108407,-0.097338787,-0.085778336,-0.25308371
9/1/2001,1040.939941,-0.081723406,-0.149822819,-0.102893159,-0.275368822
10/1/2001,1059.780029,0.018099111,-0.125038146,-0.151809532,-0.258584013
11/1/2001,1139.449951,0.075175904,0.005178281,-0.092664554,-0.133465156
12/1/2001,1148.079956,0.007573834,0.102926222,-0.062317294,-0.130426932
1/1/2002,1130.199951,-0.015573833,0.066447678,-0.066898962,-0.172626889
2/1/2002,1106.72998,-0.020766211,-0.028715584,-0.023686001,-0.107432591
3/1/2002,1147.390015,0.036738894,-0.000600952,0.102263416,-0.011151949
4/1/2002,1076.920044,-0.061417626,-0.047142019,0.016173182,-0.138091593
5/1/2002,1067.140015,-0.009081481,-0.035772018,-0.063460388,-0.150244413
6/1/2002,989.820007,-0.072455354,-0.137329074,-0.137847498,-0.191574509
7/1/2002,911.619995,-0.079004275,-0.153493335,-0.193399368,-0.247360113
8/1/2002,916.070007,0.004881433,-0.141565311,-0.172273252,-0.191878789
9/1/2002,815.280029,-0.110024318,-0.176335068,-0.28944821,-0.216784757
10/1/2002,885.76001,0.086448801,-0.028367066,-0.177506246,-0.164203905
11/1/2002,936.309998,0.057069621,0.022094371,-0.122598736,-0.178278961
12/1/2002,879.820007,-0.060332573,0.079162957,-0.111131316,-0.23365964
1/1/2003,855.700012,-0.027414693,-0.033936955,-0.06134133,-0.242877323
2/1/2003,841.150024,-0.017003609,-0.101632979,-0.081784124,-0.239968159
3/1/2003,848.179993,0.008357569,-0.035961917,0.040354189,-0.260774469
4/1/2003,916.919983,0.081044107,0.07154373,0.035178799,-0.148571904
5/1/2003,963.590027,0.05089871,0.145562622,0.029135681,-0.097035053
6/1/2003,974.5,0.011322215,0.148930661,0.107612912,-0.015477569
7/1/2003,990.309998,0.016223702,0.080039716,0.157309786,0.086318865
8/1/2003,1008.01001,0.017873203,0.046098425,0.198371255,0.100363512
9/1/2003,995.969971,-0.011944365,0.022031781,0.17424365,0.2216293
10/1/2003,1050.709961,0.054961486,0.060990966,0.145912381,0.186224202
11/1/2003,1058.199951,0.007128504,0.049791114,0.098184831,0.130181193
12/1/2003,1111.920044,0.050765541,0.116419246,0.141015951,0.263804
1/1/2004,1131.130005,0.017276387,0.076538766,0.142197905,0.321876813
2/1/2004,1144.939941,0.012208973,0.081969376,0.135841837,0.361160207
3/1/2004,1126.209961,-0.016358919,0.012851569,0.130766985,0.327795952
4/1/2004,1107.300049,-0.016790752,-0.021067389,0.053858905,0.207629967
5/1/2004,1120.680054,0.01208345,-0.021188786,0.059043759,0.163025792
6/1/2004,1140.839966,0.017988999,0.012990477,0.026008994,0.170692628
7/1/2004,1101.719971,-0.034290519,-0.005039355,-0.026000578,0.112500099
8/1/2004,1104.23999,0.00228735,-0.014669721,-0.035547673,0.095465302
9/1/2004,1114.579956,0.009363876,-0.023018136,-0.010326676,0.119089921
10/1/2004,1130.199951,0.014014244,0.025850471,0.020680846,0.075653599
11/1/2004,1173.819946,0.038594936,0.063011625,0.047417541,0.10926101
12/1/2004,1211.920044,0.032458213,0.087333428,0.062305038,0.089934524
1/1/2005,1181.27002,-0.025290467,0.045186756,0.072205325,0.044327367
2/1/2005,1203.599976,0.018903346,0.025370186,0.089980427,0.051234159
3/1/2005,1180.589966,-0.019117656,-0.025851605,0.059224114,0.04828585
4/1/2005,1156.849976,-0.020108582,-0.020672703,0.023579921,0.044748419
5/1/2005,1191.5,0.029952046,-0.010053154,0.015061981,0.063193724
6/1/2005,1191.329956,-0.000142714,0.009097138,-0.016989642,0.044256856
7/1/2005,1234.180054,0.035968287,0.066845382,0.044790804,0.120230264
8/1/2005,1220.329956,-0.011222105,0.024196354,0.01389995,0.105131101
9/1/2005,1228.810059,0.006949025,0.031460724,0.040844065,0.102487132
10/1/2005,1207.01001,-0.01774078,-0.022014652,0.043359152,0.067961478
11/1/2005,1249.47998,0.035186096,0.023887002,0.048661334,0.064456252
12/1/2005,1248.290039,-0.000952349,0.015852719,0.047812181,0.030010226
1/1/2006,1280.079956,0.025466771,0.060537978,0.037190604,0.083647205
2/1/2006,1280.660034,0.000453158,0.024954425,0.049437513,0.064024642
3/1/2006,1294.869995,0.01109581,0.037315011,0.053759273,0.096799085
